Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
CoStar Group Inc.,CSGP,22160N10,2262864,0.082495,Industrials,4474002,USD
Global Payments Inc.,GPN,37940X10,2712013,0.082343,Financials,2898800,USD
Lennar Corporation Class A,LEN,52605710,2511920,0.082243,Consumer Discretionary,2794820,USD
Republic Services Inc.,RSG,76075910,2262530,0.0822,Industrials,2251755,USD
ANSYS Inc.,ANSS,03662Q10,2045623,0.081354,Information Technology,959831,USD
Edison International,EIX,28102010,2829515,0.081227,Utilities,4201307,USD
Ulta Beauty Inc.,ULTA,90384S30,B28TS42,0.080897,Consumer Discretionary,563122,USD
Discover Financial Services,DFS,25470910,B1YLC43,0.080672,Financials,2941879,USD
Digital Realty Trust Inc.,DLR,25386810,B03GQS4,0.080601,Real Estate,3150344,USD
Eversource Energy,ES,30040W10,BVVN4Q8,0.079912,Utilities,3837922,USD
Tractor Supply Company,TSCO,89235610,2900335,0.07982,Consumer Discretionary,1216749,USD
SBA Communications Corp. Class A,SBAC,78410G10,BZ6TS23,0.079799,Real Estate,1189536,USD
PG&E Corporation,PCG,69331C10,2689560,0.07967,Utilities,17711656,USD
West Pharmaceutical Services Inc.,WST,95530610,2950482,0.079624,Health Care,815670,USD
AmerisourceBergen Corporation,ABC,3.07E+13,2795393,0.07842,Health Care,1781750,USD
Arch Capital Group Ltd.,ACGL,G0450A10,2740542,0.07743,Financials,4068986,USD
United Rentals Inc.,URI,91136310,2134781,0.076734,Industrials,762209,USD
Diamondback Energy Inc.,FANG,25278X10,B7Y8YR3,0.076258,Energy,2025085,USD
Keysight Technologies Inc,KEYS,49338L10,BQZJ0Q9,0.07602,Information Technology,1972834,USD
Align Technology Inc.,ALGN,1625510,2679204,0.076016,Health Care,797813,USD
Willis Towers Watson Public Limited Company,WTW,G9662910,BDB6Q21,0.075055,Financials,1190354,USD
State Street Corporation,STT,85747710,2842040,0.07415,Financials,3845732,USD
Corning Inc,GLW,21935010,2224701,0.074094,Information Technology,8387740,USD
HP Inc.,HPQ,40434L10,BYX4D52,0.073652,Information Technology,9523155,USD
Walgreens Boots Alliance Inc.,WBA,93142710,BTN1Y44,0.073567,Consumer Staples,7896433,USD
T. Rowe Price Group,TROW,74144T10,2702337,0.072985,Financials,2472046,USD
Constellation Energy Corporation,CEG,21037T10,BMH4FS1,0.072957,Utilities,3596821,USD
International Flavors & Fragrances Inc.,IFF,45950610,2464165,0.07144,Materials,2804657,USD
Equifax Inc.,EFX,29442910,2319146,0.071023,Industrials,1346889,USD
AvalonBay Communities Inc.,AVB,5348410,2131179,0.069911,Real Estate,1539132,USD
LyondellBasell Industries NV,LYB,N5374510,B3SPXZ3,0.069649,Materials,2789520,USD
Quanta Services Inc.,PWR,7.48E+14,2150204,0.069533,Industrials,1574560,USD
Gartner Inc.,IT,36665110,2372763,0.068859,Information Technology,867216,USD
eBay Inc.,EBAY,27864210,2293819,0.06871,Consumer Discretionary,5969336,USD
Fortive Corp.,FTV,34959J10,BYT3MK1,0.068279,Industrials,3890754,USD
Genuine Parts Company,GPC,37246010,2367480,0.068248,Consumer Discretionary,1555348,USD
Ameren Corporation,AEE,2360810,2050832,0.067708,Utilities,2843909,USD
Baxter International Inc.,BAX,7181310,2085102,0.066255,Health Care,5560826,USD
Vulcan Materials Company,VMC,92916010,2931205,0.065774,Materials,1462159,USD
Weyerhaeuser Company,WY,96216610,2958936,0.06537,Real Estate,8140178,USD
CDW Corporation,CDW,12514G10,BBM5MD6,0.064969,Information Technology,1491885,USD
Ingersoll Rand Inc.,IR,45687V10,BL5GZ82,0.064833,Industrials,4461660,USD
CBRE Group Inc. Class A,CBRE,12504L10,B6WVMH3,0.064821,Real Estate,3475427,USD
Church & Dwight Co. Inc.,CHD,17134010,2195841,0.064776,Consumer Staples,2686997,USD
Hartford Financial Services Group Inc.,HIG,41651510,2476193,0.064162,Financials,3498660,USD
Entergy Corporation,ETR,29364G10,2317087,0.064153,Utilities,2242054,USD
Insulet Corporation,PODD,45784P10,B1XGNW4,0.06414,Health Care,766704,USD
DTE Energy Company,DTE,23333110,2280220,0.064055,Utilities,2134662,USD
Martin Marietta Materials Inc.,MLM,57328410,2572079,0.063937,Materials,684124,USD
FirstEnergy Corp.,FE,33793210,2100920,0.063798,Utilities,5951045,USD
